Time	(10) Kp*error	(13) Kd*de/dt	(14) Kp*e+Kd*de/dt CCW	
0	-0.06	-0.06	-0.06	
0.0002	-0.06016519	-0.06016519	-0.06	
0.0004	-0.06035765	-0.06035765	-0.06	
0.0006	-0.06049613	-0.06049613	-0.06	
0.0008	-0.06057298	-0.06057327	-0.06	
0.0009999999	-0.06060565	-0.06060673	-0.06	
0.0012	-0.06061074	-0.06061336	-0.06	
0.0014	-0.0605993	-0.0606044	-0.06	
0.0016	-0.06057791	-0.06058664	-0.06	
0.0018	-0.06055034	-0.06056397	-0.06	
0.002	-0.0605187	-0.06053855	-0.06	
0.0022	-0.06048415	-0.06051155	-0.06	
0.0024	-0.06044739	-0.06048359	-0.06	
0.0026	-0.06040884	-0.06045498	-0.06	
0.0028	-0.06036883	-0.06042585	-0.06	
0.003	-0.06032765	-0.06039627	-0.06	
0.0032	-0.06028556	-0.06036622	-0.06	
0.0034	-0.06024285	-0.06033569	-0.06	
0.0036	-0.06019982	-0.06030466	-0.06	
0.0038	-0.0601568	-0.06027313	-0.06	
0.004	-0.06011415	-0.06024111	-0.06	
0.0042	-0.06007224	-0.06020862	-0.06	
0.0044	-0.06003145	-0.06017575	-0.06	
0.0046	-0.05999219	-0.06014259	-0.06	
0.0048	-0.05995484	-0.06010927	-0.05999917	
0.005	-0.05991979	-0.06007595	-0.05999446	
0.0052	-0.05988742	-0.06004282	-0.05998647	
0.0054	-0.05985808	-0.0600101	-0.05997581	
0.0056	-0.05983209	-0.05997803	-0.05996305	
0.0058	-0.05980974	-0.05994686	-0.05994641	
0.006	-0.05979126	-0.05991686	-0.05992568	
0.0062	-0.05977686	-0.05988831	-0.05990179	
0.0064	-0.05976668	-0.05986147	-0.05987561	
0.0066	-0.05976081	-0.05983663	-0.059848	
0.0068	-0.05975927	-0.05981405	-0.05981977	
0.007	-0.05976203	-0.05979396	-0.05979167	
0.0072	-0.05976901	-0.05977661	-0.05976442	
0.0074	-0.05978005	-0.05976218	-0.05973867	
0.0076	-0.05979494	-0.05975084	-0.05971501	
0.0078	-0.05981341	-0.05974273	-0.05969398	
0.007999999	-0.0598334	-0.05973796	-0.05967607	
0.0082	-0.05985124	-0.05973657	-0.05966147	
0.0084	-0.05986717	-0.0597384	-0.05965001	
0.008599999	-0.05988139	-0.05974291	-0.05964152	
0.0088	-0.05989408	-0.05974956	-0.05963583	
0.009	-0.05990542	-0.05975791	-0.05963272	
0.0092	-0.05991554	-0.05976757	-0.059632	
0.0094	-0.05992459	-0.05977822	-0.05963345	
0.0096	-0.05993267	-0.05978956	-0.05963684	
0.0098	-0.05993989	-0.05980137	-0.05964197	
0.01	-0.05994634	-0.05981345	-0.05964862	
0.0102	-0.0599521	-0.05982564	-0.05965661	
0.0104	-0.05995725	-0.05983781	-0.05966573	
0.0106	-0.05996185	-0.05984985	-0.05967582	
0.0108	-0.05996596	-0.05986167	-0.05968672	
0.011	-0.05996963	-0.0598732	-0.05969826	
0.0112	-0.0599729	-0.05988439	-0.05971032	
0.0114	-0.05997583	-0.05989518	-0.05972276	
0.0116	-0.05997845	-0.0599055	-0.05973547	
0.0118	-0.05998079	-0.0599148	-0.05974834	
0.012	-0.05998287	-0.05992318	-0.05976122	
0.0122	-0.05998473	-0.05993073	-0.05977398	
0.0124	-0.0599864	-0.05993754	-0.05978652	
0.0126	-0.05998788	-0.05994369	-0.05979877	
0.0128	-0.0599892	-0.05994922	-0.05981067	
0.013	-0.05998652	-0.05995422	-0.05982215	
0.0132	-0.05997911	-0.05995872	-0.05983279	
0.0134	-0.05996757	-0.05996278	-0.05984211	
0.0136	-0.05995252	-0.05996644	-0.05984975	
0.0138	-0.05993458	-0.05996974	-0.05985545	
