Time	(16) Kp*error	(21) Kd*de/dt	(22) Kp*e+Kd*de/dt CW	
0	-0.06	-0.06	-0.06	
0.0002	-0.06016519	-0.06016519	-0.06	
0.0004	-0.06035765	-0.06035765	-0.06	
0.0006	-0.06049613	-0.06049613	-0.06	
0.0008	-0.06057327	-0.06057327	-0.06	
0.0009999999	-0.06060673	-0.06060673	-0.06	
0.0012	-0.06061339	-0.06061339	-0.06	
0.0014	-0.06060455	-0.06060455	-0.06	
0.0016	-0.06058709	-0.06058709	-0.06	
0.0018	-0.06056499	-0.06056499	-0.06	
0.002	-0.06054055	-0.06054055	-0.06	
0.0022	-0.06051508	-0.06051508	-0.06	
0.0024	-0.06048936	-0.06048936	-0.06	
0.0026	-0.06046383	-0.06046383	-0.06	
0.0028	-0.0604388	-0.0604388	-0.06	
0.003	-0.06041445	-0.06041445	-0.06	
0.0032	-0.06039089	-0.06039089	-0.06	
0.0034	-0.06036821	-0.06036821	-0.06	
0.0036	-0.06034644	-0.06034644	-0.06	
0.0038	-0.0603256	-0.0603256	-0.06	
0.004	-0.06030572	-0.06030572	-0.06	
0.0042	-0.06028678	-0.06028678	-0.06	
0.0044	-0.06026878	-0.06026878	-0.06	
0.0046	-0.06025169	-0.06025169	-0.06	
0.0048	-0.0602355	-0.0602355	-0.06	
0.005	-0.06022019	-0.06022019	-0.06	
0.0052	-0.06020571	-0.06020571	-0.06	
0.0054	-0.06019206	-0.06019206	-0.06	
0.0056	-0.06017918	-0.06017918	-0.06	
0.0058	-0.06016706	-0.06016706	-0.06	
0.006	-0.06015565	-0.06015565	-0.06	
0.0062	-0.06014494	-0.06014494	-0.06	
0.0064	-0.06013488	-0.06013488	-0.06	
0.0066	-0.06012544	-0.06012544	-0.06	
0.0068	-0.0601166	-0.0601166	-0.06	
0.007	-0.06010833	-0.06010833	-0.06	
0.0072	-0.06010059	-0.06010059	-0.06	
0.0074	-0.06009335	-0.06009335	-0.06	
0.0076	-0.06008659	-0.06008659	-0.06	
0.0078	-0.06008027	-0.06008027	-0.06	
0.007999999	-0.06007439	-0.06007439	-0.06	
0.0082	-0.06006891	-0.06006891	-0.06	
0.0084	-0.06006379	-0.06006379	-0.06	
0.008599999	-0.06005904	-0.06005904	-0.06	
0.0088	-0.06005462	-0.06005462	-0.06	
0.009	-0.0600505	-0.0600505	-0.06	
0.0092	-0.06004668	-0.06004668	-0.06	
0.0094	-0.06004313	-0.06004313	-0.06	
0.0096	-0.06003983	-0.06003983	-0.06	
0.0098	-0.06003677	-0.06003677	-0.06	
0.01	-0.06003394	-0.06003394	-0.06	
0.0102	-0.06003132	-0.06003132	-0.06	
0.0104	-0.06002888	-0.06002888	-0.06	
0.0106	-0.06002663	-0.06002663	-0.06	
0.0108	-0.06002454	-0.06002454	-0.06	
0.011	-0.06002262	-0.06002262	-0.06	
0.0112	-0.06002083	-0.06002083	-0.06	
0.0114	-0.06001919	-0.06001919	-0.06	
0.0116	-0.06001766	-0.06001766	-0.06	
0.0118	-0.06001626	-0.06001626	-0.06	
0.012	-0.06001496	-0.06001496	-0.06	
0.0122	-0.06001376	-0.06001376	-0.06	
0.0124	-0.06001265	-0.06001265	-0.06	
0.0126	-0.06001164	-0.06001164	-0.06	
0.0128	-0.06001069	-0.06001069	-0.06	
0.013	-0.06000983	-0.06000983	-0.06	
0.0132	-0.06000903	-0.06000903	-0.06	
0.0134	-0.06000829	-0.06000829	-0.06	
0.0136	-0.06000762	-0.06000762	-0.06	
0.0138	-0.06000699	-0.06000699	-0.06	
0.014	-0.06000642	-0.06000642	-0.06	
0.0142	-0.0600059	-0.0600059	-0.06	
0.0144	-0.06000541	-0.06000541	-0.06	
0.0146	-0.06000496	-0.06000496	-0.06	
