Time	(23) Combined Output	
0	-0.06	
0.0002	-0.06	
0.0004	-0.06	
0.0006	-0.06	
0.0008	-0.06	
0.0009999999	-0.06	
0.0012	-0.06	
0.0014	-0.06	
0.0016	-0.06	
0.0018	-0.06	
0.002	-0.06	
0.0022	-0.06	
0.0024	-0.06	
0.0026	-0.06	
0.0028	-0.06	
0.003	-0.06	
0.0032	-0.06	
0.0034	-0.06	
0.0036	-0.06	
0.0038	-0.06	
0.004	-0.06	
0.0042	-0.06	
0.0044	-0.06	
0.0046	-0.06	
0.0048	-0.06	
0.005	-0.06	
0.0052	-0.06	
0.0054	-0.06	
0.0056	-0.06	
0.0058	-0.06	
0.006	-0.06	
0.0062	-0.06	
0.0064	-0.06	
0.0066	-0.06	
0.0068	-0.06	
0.007	-0.06	
0.0072	-0.06	
0.0074	-0.06	
0.0076	-0.06	
0.0078	-0.06	
0.007999999	-0.06	
0.0082	-0.06	
0.0084	-0.06	
0.008599999	-0.06	
0.0088	-0.06	
0.009	-0.06	
0.0092	-0.06	
0.0094	-0.06	
0.0096	-0.06	
0.0098	-0.06	
0.01	-0.06	
0.0102	-0.06	
0.0104	-0.06	
0.0106	-0.06	
0.0108	-0.06	
0.011	-0.06	
0.0112	-0.06	
0.0114	-0.06	
0.0116	-0.06	
0.0118	-0.06	
0.012	-0.06	
0.0122	-0.06	
0.0124	-0.06	
0.0126	-0.06	
0.0128	-0.06	
0.013	-0.06	
0.0132	-0.06	
0.0134	-0.06	
0.0136	-0.06	
0.0138	-0.06	
0.014	-0.06	
0.0142	-0.06	
0.0144	-0.06	
0.0146	-0.06	
0.0148	-0.06000001	
0.015	-0.06000004	
0.0152	-0.06000008	
0.0154	-0.06000016	
0.0156	-0.06000027	
0.0158	-0.06000043	
0.016	-0.06000064	
0.0162	-0.06000089	
0.0164	-0.06000118	
0.0166	-0.06000153	
0.0168	-0.06000191	
0.017	-0.06000234	
0.0172	-0.06000281	
0.0174	-0.06000331	
0.0176	-0.06000385	
0.0178	-0.06000442	
0.018	-0.06000502	
0.0182	-0.06000564	
0.0184	-0.06000629	
0.0186	-0.06000695	
0.0188	-0.06000764	
0.019	-0.06000834	
0.0192	-0.06000905	
0.0194	-0.06000977	
0.0196	-0.0600105	
0.0198	-0.06001124	
0.02	-0.06001198	
0.0202	-0.06001273	
0.0204	-0.06001348	
0.0206	-0.06001423	
0.0208	-0.06001498	
0.021	-0.06001573	
0.0212	-0.06001648	
0.0214	-0.06001722	
0.0216	-0.06001797	
0.0218	-0.0600187	
0.022	-0.06001944	
0.0222	-0.06002016	
0.0224	-0.06002089	
0.0226	-0.06002161	
0.0228	-0.06002232	
0.023	-0.06002302	
0.0232	-0.06002372	
0.0234	-0.06002442	
0.0236	-0.0600251	
0.0238	-0.06002579	
0.024	-0.06002646	
0.0242	-0.06002713	
0.0244	-0.06002779	
0.0246	-0.06002845	
0.0248	-0.0600291	
0.025	-0.06002975	
0.0252	-0.06003038	
0.0254	-0.06003102	
0.0256	-0.06003164	
0.0258	-0.06003227	
0.026	-0.06003289	
0.0262	-0.0600335	
0.0264	-0.06003411	
0.0266	-0.06003471	
0.0268	-0.06003531	
0.027	-0.0600359	
0.0272	-0.06003649	
0.0274	-0.06003708	
0.0276	-0.06003766	
0.0278	-0.06003824	
0.028	-0.06003881	
0.0282	-0.06003938	
0.0284	-0.06003994	
0.0286	-0.06004051	
0.0288	-0.06004107	
0.029	-0.06004162	
0.0292	-0.06004217	
0.0294	-0.06004272	
0.0296	-0.06004327	
